ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
HSKA;KSL;Kassala Airport;15.387499809265137;36.328800201416016;1671;AF;SD;SD-05;Kassala
HSKG;GBU;Khashm El Girba Airport;14.925000190734863;35.87799835205078;1560;AF;SD;SD-06;Khashm El Girba
HSLI;KDX;Kadugli Airport;11.137999534600002;29.7010993958;1848;AF;SD;SD-13;Kadugli
HSMK;RBX;Rumbek Airport;6.831074;29.669073;1378;AF;SS;SS-18;Rumbek
HSMN;MWE;Merowe New Airport;18.4433333333;31.8433333333;897;AF;SD;SD-01;Merowe
HSNH;NUD;En Nahud Airport;12.666999816894531;28.33300018310547;1955;AF;SD;SD-09;En Nahud
HSNN;UYL;Nyala Airport;12.0535;24.9562;2106;AF;SD;SD-11;Nyala
HSNW;NHF;New Halfa Airport;15.3556;35.727798;1480;AF;SD;SD-05;New Halfa
HSOB;EBD;El Obeid Airport;13.153200149536133;30.23270034790039;1927;AF;SD;SD-09;Al-Ubayyid
HSPN;PZU;Port Sudan New International Airport;19.4335994720459;37.234100341796875;135;AF;SD;SD-26;Port Sudan
HSSK;KRT;Khartoum International Airport;15.5895;32.5532;1265;AF;SD;SD-03;Khartoum
HSSM;MAK;Malakal Airport;9.55897;31.652201;1291;AF;SS;SS-23;Malakal
HSSW;WHF;Wadi Halfa Airport;21.802698;31.521578;933;AF;SD;SD-01;Wadi Halfa
HSWD;DNI;Wad Medani Airport;14.295633;33.547271;1350;AF;SD;SD-07;Wad Medani
HSWW;WUU;Wau Airport;7.72583;27.975;1529;AF;SS;SS-14;Wau
HSZA;ZLX;Zalingei Airport;12.9437;23.5631;2953;AF;SD;SD-12;Zalingei
HTAR;ARK;Arusha Airport;-3.3677899837493896;36.63330078125;4550;AF;TZ;TZ-01;Arusha
HTBU;BKZ;Bukoba Airport;-1.332;31.8212;3784;AF;TZ;TZ-05;Bukoba
HTDA;DAR;Julius Nyerere International Airport;-6.87811;39.202599;182;AF;TZ;TZ-02;Dar es Salaam
HTDO;DOD;Dodoma Airport;-6.17044;35.752602;3673;AF;TZ;TZ-03;Dodoma
HTGW;MBI;Songwe Airport;-8.919942;33.273981;4412;AF;TZ;TZ-14;Mbeya
HTIR;IRI;Iringa Airport;-7.668630123138428;35.75210189819336;4678;AF;TZ;TZ-04;Nduli
HTKA;TKQ;Kigoma Airport;-4.8862;29.6709;2700;AF;TZ;TZ-08;Kigoma
HTKI;KIY;Kilwa Airport;-8.91123;39.508619;50;AF;TZ;TZ-12;Kilwa Masoko
HTKJ;JRO;Kilimanjaro International Airport;-3.42941;37.074501;2932;AF;TZ;TZ-01;Arusha
HTLI;LDI;Lindi Airport;-9.851005;39.75911;100;AF;TZ;TZ-12;Lindi
HTLM;LKY;Lake Manyara Airport;-3.376310110092163;35.81829833984375;4150;AF;TZ;TZ-26;Lake Manyara National Park
HTM;HTM;Khatgal Airport;50.435988;100.139532;5500;AS;MN;MN-041;Hatgal
HTMA;MFA;Mafia Airport;-7.917478;39.668502;60;AF;TZ;TZ-19;Kilindoni
HTMD;MWN;Mwadui Airport;-3.521332;33.615542;3970;AF;TZ;TZ-22;Mwadui
HTMI;XMI;Masasi Airport;-10.732999801635742;38.766998291015625;1700;AF;TZ;TZ-17;Masasi
HTMP;NPY;Mpanda Airport;-6.355374;31.084116;3520;AF;TZ;TZ-20;Mpanda
HTMS;QSI;Moshi Airport;-3.3633298873901367;37.326900482177734;2801;AF;TZ;TZ-09;Moshi
HTMT;MYW;Mtwara Airport;-10.336204;40.181997;371;AF;TZ;TZ-17;Mtwara
HTMU;MUZ;Musoma Airport;-1.503;33.8021;3806;AF;TZ;TZ-13;Musoma
HTMW;MWZ;Mwanza Airport;-2.4444899559020996;32.932701110839844;3763;AF;TZ;TZ-18;Mwanza
HTNA;NCH;Nachingwea Airport;-10.357500076293945;38.77920150756836;1400;AF;TZ;TZ-12;Nachingwea
HTNJ;JOM;Njombe Airport;-9.350000381469727;34.79999923706055;6400;AF;TZ;TZ-04;Njombe
HTPE;PMA;Pemba Airport;-5.25726;39.811401;80;AF;TZ;TZ-25;Chake Chake
HTSN;SEU;Seronera Airport;-2.45806;34.822498;5080;AF;TZ;TZ-13;Seronera
HTSO;SGX;Songea Airport;-10.682999610900879;35.58300018310547;3445;AF;TZ;TZ-21;Songea
HTSU;SUT;Sumbawanga Airport;-7.948889;31.610278;5960;AF;TZ;TZ-20;Sumbawanga
HTSY;SHY;Shinyanga Airport;-3.6093;33.5035;3800;AF;TZ;TZ-22;Shinyanga
HTTB;TBO;Tabora Airport;-5.076389789581299;32.83330154418945;3868;AF;TZ;TZ-24;Tabora
HTTG;TGT;Tanga Airport;-5.09236;39.071201;129;AF;TZ;TZ-25;Tanga
HTZA;ZNZ;Abeid Amani Karume International Airport;-6.22202;39.224899;54;AF;TZ;TZ-07;Zanzibar
HUAR;RUA;Arua Airport;3.049152;30.911714;3951;AF;UG;UG-N;Arua
HUEN;EBB;Entebbe International Airport;0.042386;32.443501;3782;AF;UG;UG-C;Kampala
HUGU;ULU;Gulu Airport;2.8055601119995117;32.27180099487305;3510;AF;UG;UG-N;Gulu
HUJI;JIN;Jinja Airport;0.449999988079;33.200000762900004;3855;AF;UG;UG-E;Jinja
HUKF;PAF;Kabalega Falls Airport;2.326563;31.497698;2365;AF;UG;UG-W;Pakuba
HUKS;KSE;Kasese Airport;0.18299999833106995;30.100000381469727;3146;AF;UG;UG-W;Kasese
HUMA;MBQ;Mbarara Airport;-0.555278;30.5994;4600;AF;UG;UG-W;Mbarara
HUMI;KCU;Masindi Airport;1.7580599784851074;31.7367000579834;3850;AF;UG;UG-W;Masindi
HUSO;SRT;Soroti Airport;1.7276899814605713;33.622798919677734;3697;AF;UG;UG-E;Soroti
HUTO;TRY;Tororo Airport;0.6830000281333923;34.16699981689453;3840;AF;UG;UG-E;Tororo
HWA;HWA;Hawabango Airport;-7.392994;146.003487;4563;OC;PG;PG-GPK;Hawabango
HYL;HYL;Hollis Clark Bay Seaplane Base;55.4816017151;-132.645996094;0;NA;US;US-AK;Hollis
HZU;HZU;Chengdu Huaizhou Airport;30.677339;104.529397;1453;AS;CN;CN-51;Chengdu
IBI;IBI;Iboki Airport;-5.5536;149.19;13;OC;PG;PG-WBK;Iboki
IBL;IBL;Indigo Bay Lodge Airport;-21.708;35.452801;20;AF;MZ;MZ-I;Bazaruto Island
ICO;ICO;Sicogon Airstrip;11.4595;123.2506;25;AS;PH;PH-ILI;Carles
ID-0003;PPJ;Pulau Panjang Airport;-5.644444;106.5625;155;AS;ID;ID-JB;Jakarta
ID-0006;JBB;Notohadinegoro Airport;-8.238056;113.694439;281;AS;ID;ID-JI;Jember
ID-0011;BWX;Banyuwangi International Airport;-8.31015;114.3401;112;AS;ID;ID-JI;Banyuwangi
ID-0169;BXW;Bawean - Harun Thohir Airport;-5.723628;112.678889;93;AS;ID;ID-JI;Bawean
ID-0214;GYO;Blangkejeren Airport;3.94548;97.35968;;AS;ID;ID-AC;Kabupaten Gayo Lues
ID-AAS;AAS;Apalapsili Airport;-3.8832;139.3108;3100;AS;ID;ID-PA;Apalapsili
